block,count,Original B_SSE,Expanded A_SSE,Expanded B_SSE,Inverted42_SSE,Inverted43_SSE,Inverted44_SSE,Daily_SSE,site,period,support,horizon,scope,block_hours
33,6876.0,680850.2323765587,2668569.042145416,904391.471733619,645783.3779133726,719563.5136576333,720208.4121535679,1546047.6245845992,YULARA_COMBINED,2018_Apr_Jun_origins,fixed_period,12,full,48
34,6912.0,506222.5135187165,2015436.4881986172,717189.9028324204,614003.8388159347,838536.2653698806,792524.1624978521,1091993.8054558616,YULARA_COMBINED,2018_Apr_Jun_origins,fixed_period,12,full,48
35,6912.0,567031.0423345759,2684671.5856151,795519.3814760819,642076.73676843,789114.80154179,721496.1834106324,1054999.4209681847,YULARA_COMBINED,2018_Apr_Jun_origins,fixed_period,12,full,48
36,6912.0,106182.7018918419,3462536.6373550007,454677.92206906097,40507.79808466305,59931.80977024937,58086.324284915856,513177.5425095823,YULARA_COMBINED,2018_Apr_Jun_origins,fixed_period,12,full,48
37,6912.0,26416.924591142637,3402247.35185303,314849.97477249446,33699.67874275314,51400.56767772096,63019.92159027904,2020.8610885229646,YULARA_COMBINED,2018_Apr_Jun_origins,fixed_period,12,full,48
38,6912.0,114378.23376771709,3419018.9183398816,416193.2548068657,113931.66035427518,118686.50093682893,118442.39802549186,183101.31051612325,YULARA_COMBINED,2018_Apr_Jun_origins,fixed_period,12,full,48
39,6912.0,399276.333230148,3365472.3355366145,596731.5297413481,397125.70845787606,419256.9812787975,432218.6739511653,469347.54857116233,YULARA_COMBINED,2018_Apr_Jun_origins,fixed_period,12,full,48
40,6912.0,98179.13225574755,3400098.6462415336,455032.0812374133,76321.46945669781,89908.99552010855,90906.61953593869,510094.10999172326,YULARA_COMBINED,2018_Apr_Jun_origins,fixed_period,12,full,48
41,6912.0,165687.88133382477,3559004.497963063,452265.0920463413,165078.53493077512,178895.886185662,177620.18580565683,240267.4682448902,YULARA_COMBINED,2018_Apr_Jun_origins,fixed_period,12,full,48
42,6912.0,27764.560475719303,3517000.5987565513,339998.32592970517,28838.5752112575,30911.977861546737,34322.13444409154,9652.008108993186,YULARA_COMBINED,2018_Apr_Jun_origins,fixed_period,12,full,48
