block,count,Original A_SSE,Original B_SSE,Expanded A_SSE,Expanded B_SSE,Daily_SSE,Last-value_SSE,Inverted42_SSE,Joint-patch Transformer42_SSE,Joint-patch Transformer43_SSE,Joint-patch Transformer44_SSE,site,period,support,horizon,scope,block_hours
6,20449.0,14352.821341185781,543.4266567416614,14352.821341185781,543.4266567416614,72.4655138377974,215324.81845431664,6857.795955062712,6137.740034865496,4406.441243414705,4412.825384545554,Sanyo,Alice2018Test,S2_new_origins,144,full,24
7,20449.0,14778.613760919554,598.2107919556573,14778.613760919554,598.2107919556573,30.2491184818306,207558.0061525868,9083.623856101618,10273.811004338066,7059.227374621283,7721.460551595274,Sanyo,Alice2018Test,S2_new_origins,144,full,24
8,20592.0,20340.558926212125,555.5053485991915,20340.558926212125,555.5053485991915,42.46900337513475,203051.6851588371,8500.80941832937,8509.72194670654,6433.6551313563095,5568.776408136108,Sanyo,Alice2018Test,S2_new_origins,144,full,24
9,20592.0,21906.952126496064,552.4967109049543,21906.952126496064,552.4967109049543,41.03293815202469,209201.76268070057,14379.154234297695,14953.95174179707,11413.952192187937,9937.075114434647,Sanyo,Alice2018Test,S2_new_origins,144,full,24
10,20592.0,15974.872474847274,611.8223818304529,15974.872474847274,611.8223818304529,21.207775733002382,213027.3183408382,12255.156382761412,12472.580049257655,8648.094373358648,8410.36029532667,Sanyo,Alice2018Test,S2_new_origins,144,full,24
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Sanyo,Alice2018Test,S2_new_origins,144,full,24
12,20736.0,11376.394602929213,720.9079115880334,11376.394602929213,720.9079115880334,47.83131586312084,234690.37355346052,7275.093134566677,6829.677653019696,4933.4972749476865,4465.192526502718,Sanyo,Alice2018Test,S2_new_origins,144,full,24
13,20592.0,11017.605296228152,729.9659779332505,11017.605296228152,729.9659779332505,51.46539877250274,224981.78847621326,6707.130200664965,4992.901377168257,4364.417435178509,3780.827783334451,Sanyo,Alice2018Test,S2_new_origins,144,full,24
14,20592.0,16330.428708624218,914.2782499098353,16330.428708624218,914.2782499098353,81.9956455809277,218975.4417592983,16472.416357671267,8539.807896340455,7047.536770066666,5481.897944204408,Sanyo,Alice2018Test,S2_new_origins,144,full,24
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Sanyo,Alice2018Test,S2_new_origins,144,full,24
16,20736.0,18386.750866590683,737.1769592911246,18386.750866590683,737.1769592911246,39.22286831003037,226629.92969456827,11294.922187567154,11260.066257866947,7409.280546038397,7695.141211449518,Sanyo,Alice2018Test,S2_new_origins,144,full,24
17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Sanyo,Alice2018Test,S2_new_origins,144,full,24
18,20736.0,11294.043256015539,659.0718136425348,11294.043256015539,659.0718136425348,12.198788513263716,226778.28906586528,6929.880371215951,6728.350506399667,4904.161066425232,4519.076021028086,Sanyo,Alice2018Test,S2_new_origins,144,full,24
19,20449.0,11792.766777645526,687.7826062125074,11792.766777645526,687.7826062125074,76.02779130440321,213348.20232288964,6182.286777976526,7850.8497154822135,5541.183277334805,5642.774017365832,Sanyo,Alice2018Test,S2_new_origins,144,full,24
20,20449.0,23038.02605749537,836.8042875590803,23038.02605749537,836.8042875590803,6.755926739075381,212735.2876738931,12508.740626538895,15634.472663974613,12604.443000300014,8930.836501707594,Sanyo,Alice2018Test,S2_new_origins,144,full,24
21,20449.0,30110.350416912886,918.502700432845,30110.350416912886,918.502700432845,7.947472793428796,209172.807032442,18612.311978605918,24216.319505561594,16865.079711845054,15332.65050668739,Sanyo,Alice2018Test,S2_new_origins,144,full,24
22,20593.0,34003.48589554596,5969.643038763575,34003.48589554596,5969.643038763575,8979.460525443968,187655.09174749683,26506.92378628633,27493.960513354632,19462.248729315237,18953.85723552944,Sanyo,Alice2018Test,S2_new_origins,144,full,24
