block,count,Original A_SSE,Original B_SSE,Expanded A_SSE,Expanded B_SSE,Inverted42_SSE,Inverted43_SSE,Inverted44_SSE,Daily_SSE,Last-value_SSE,site,period,support,horizon,scope,block_hours
27,41472.0,13845530.623691602,3896610.1675153775,29322502.774885412,5759170.139367651,10333621.477595415,9137688.771381197,10111383.25679215,5717097.020391544,77367788.54283972,YULARA_COMBINED,2018,complete_H144,144,full,24
28,41472.0,15129123.464492453,2204889.0958332648,30833518.34474975,5289834.33385338,10396414.16237877,10274798.931544166,11375951.634662,4632027.382587905,79747038.49081193,YULARA_COMBINED,2018,complete_H144,144,full,24
29,41472.0,10673039.215714099,807122.6852580337,30373521.87558016,3395364.692356643,7500206.351231534,7439463.664037306,8243128.5427470505,2355026.4657896096,82022733.37055993,YULARA_COMBINED,2018,complete_H144,144,full,24
30,41472.0,9618932.736217331,262243.45426378236,28832639.116541818,2640955.850700024,5672798.719265359,4772167.437743794,5465981.603344805,443028.87181805004,78248483.42169137,YULARA_COMBINED,2018,complete_H144,144,full,24
31,41472.0,18003463.65271428,3679948.945211407,26800067.40521903,5135523.199460508,7371691.357275993,7713663.806959079,9660361.019900626,3393431.4935418847,69710303.09103784,YULARA_COMBINED,2018,complete_H144,144,full,24
32,41472.0,25107105.53397605,14780945.530830353,17642869.24981435,13016503.22802492,15635011.032804593,15760531.596913477,18994589.401747562,18766210.423211697,18174442.704167806,YULARA_COMBINED,2018,complete_H144,144,full,24
33,41472.0,11534386.887877794,17118984.253149766,32000747.613689795,19143335.494509183,6518391.568532786,5900757.606913248,5756402.932171497,25678732.591525026,86011051.2079124,YULARA_COMBINED,2018,complete_H144,144,full,24
34,41472.0,7652105.117033592,1683304.5078025712,25839621.743987434,2737079.6640552133,3870077.2207948556,3427177.19414647,3998567.0634669685,1954471.5436201848,69554002.96680814,YULARA_COMBINED,2018,complete_H144,144,full,24
35,41472.0,9332234.270132026,971241.7740143774,30057909.697951984,4239252.399451514,4739997.4212491745,4754266.340429132,5323459.180476837,1728335.1848439472,81826412.37146783,YULARA_COMBINED,2018,complete_H144,144,full,24
36,41472.0,18598693.603673037,5902382.6002892675,22854625.306985527,5546618.349145672,7861024.418034778,8307216.299737531,9357862.264498185,6400102.470432928,59360854.88597489,YULARA_COMBINED,2018,complete_H144,144,full,24
37,41472.0,9161498.7070967,1458327.8396012655,27488908.769027814,4750211.2693403,4682611.902692494,4028485.330011091,4516702.075775336,5223856.070988454,73962380.64121841,YULARA_COMBINED,2018,complete_H144,144,full,24
38,41472.0,8532912.84414553,156094.92305628877,25562408.406978607,2293997.3725234694,5177969.835838226,5641542.888802706,6756622.349620656,62950.045816852195,70555454.18881501,YULARA_COMBINED,2018,complete_H144,144,full,24
39,41472.0,12818288.975401597,321618.8618337553,29214394.26127,3271303.325125057,8392490.413319804,7374396.914570134,8267809.114055664,116274.7185365168,76972507.49493724,YULARA_COMBINED,2018,complete_H144,144,full,24
40,41472.0,9802855.609348139,253413.25874416114,30221351.29138641,3200006.6078876513,5547927.371676864,5374402.145324977,6010690.780738866,53875.151505282185,80614231.0924409,YULARA_COMBINED,2018,complete_H144,144,full,24
41,41472.0,8585079.837306106,186151.13042649566,30365125.217712943,3034211.21018712,3467187.701483886,2797671.0847233306,3184728.20443539,21480.745464173935,81374749.75025311,YULARA_COMBINED,2018,complete_H144,144,full,24
42,41472.0,10717952.403595243,193286.2969816116,30900860.141763415,3129152.179160806,5737539.659440146,5053808.285593864,5127739.801618561,12355.663253359091,82768555.93794075,YULARA_COMBINED,2018,complete_H144,144,full,24
43,41472.0,8608429.683409411,161722.2604249142,29231017.11154232,2675474.7182519194,4094016.2117776945,3612113.813023365,4001975.263089386,42165.16711856754,78894413.58748947,YULARA_COMBINED,2018,complete_H144,144,full,24
44,20592.0,4775241.838721201,112164.36049824946,12883948.42688205,1434800.160666899,2381112.4288570904,1842604.980011093,1982094.6972506056,1569.5462842194943,19282559.845744804,YULARA_COMBINED,2018,complete_H144,144,full,24
45,20581.0,6011113.2459193915,287139.6892681594,11412590.106069585,1403584.6720300438,4280140.221082559,4031533.006008476,4023157.983193426,180944.709717457,17733066.78128326,YULARA_COMBINED,2018,complete_H144,144,full,24
46,20556.0,2213830.0405803965,125769.36654243903,8278204.117910297,1000762.4808224369,454303.3326483998,556837.2287247371,674591.1839578494,78117.81210898285,29386168.364037078,YULARA_COMBINED,2018,complete_H144,144,full,24
